ANNUAL VISITOR SUMMARY BY STATE & SPOT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Andhra Pradesh,Borra Caves,2021,55289,53970,1319,0.02385646331096601,1.07028383134876
Andhra Pradesh,Borra Caves,2022,91808,89854,1954,0.02128354827466016,0.660511132413319
Andhra Pradesh,Borra Caves,2023,107985,106019,1966,0.01820623234708524,0.1762046880446149
Andhra Pradesh,Borra Caves,2024,115595,113377,2218,0.01918768112807647,0.07047275084502469
Andhra Pradesh,Borra Caves,2025,125487,122339,3148,0.02508626391578411,0.08557463558112377
Andhra Pradesh,Chilika Lake (AP side),2015,150167,142792,7375,0.0491119886526334,0
Andhra Pradesh,Chilika Lake (AP side),2016,157152,148932,8220,0.05230604764813684,0.04651488010015514
Andhra Pradesh,Chilika Lake (AP side),2017,159072,152148,6924,0.04352745926372963,0.01221747098350634
Andhra Pradesh,Chilika Lake (AP side),2018,168895,160469,8426,0.04988898428017408,0.06175191108428879
Andhra Pradesh,Chilika Lake (AP side),2019,176911,169215,7696,0.04350209992595146,0.04746144053998047
Andhra Pradesh,Chilika Lake (AP side),2020,43968,41933,2035,0.04628366084425036,-0.7514682523980984
Andhra Pradesh,Chilika Lake (AP side),2021,96204,91898,4306,0.04475905367760176,1.188045851528384
Andhra Pradesh,Chilika Lake (AP side),2022,147865,141145,6720,0.04544686031177087,0.5369943037711529
Andhra Pradesh,Chilika Lake (AP side),2023,188782,180778,8004,0.04239810998929983,0.2767186284786798
Andhra Pradesh,Chilika Lake (AP side),2024,189419,180700,8719,0.04603022928006166,0.00337426237670968
Andhra Pradesh,Chilika Lake (AP side),2025,210548,200349,10199,0.04844026065315273,0.1115463601856201
Andhra Pradesh,Horsley Hills,2015,175583,168603,6980,0.03975327907599255,0
Andhra Pradesh,Horsley Hills,2016,183177,175842,7335,0.04004323686925761,0.04325020075975461
Andhra Pradesh,Horsley Hills,2017,201385,193712,7673,0.03810114953943938,0.09940112568717696
Andhra Pradesh,Horsley Hills,2018,205351,197527,7824,0.03810061796631134,0.01969362166993571
Andhra Pradesh,Horsley Hills,2019,201420,194712,6708,0.03330354483169497,-0.0191428334899757
Andhra Pradesh,Horsley Hills,2020,50047,48318,1729,0.03454752532619338,-0.7515291430841029
Andhra Pradesh,Horsley Hills,2021,118603,114222,4381,0.03693835737713212,1.369832357583871
Andhra Pradesh,Horsley Hills,2022,184395,177434,6961,0.03775048130372299,0.5547245853814828
Andhra Pradesh,Horsley Hills,2023,219707,210923,8784,0.03998051951007478,0.1915019387727432
Andhra Pradesh,Horsley Hills,2024,243000,232087,10913,0.04490946502057613,0.1060184700532982
Andhra Pradesh,Horsley Hills,2025,256435,246110,10325,0.04026361456119484,0.05528806584362145
Andhra Pradesh,Nagarjunakonda,2015,120840,119153,1687,0.01396060906984442,0
Andhra Pradesh,Nagarjunakonda,2016,128931,126737,2194,0.01701685397615779,0.06695630585898704
Andhra Pradesh,Nagarjunakonda,2017,135327,132850,2477,0.01830381224737118,0.04960792982292861
Andhra Pradesh,Nagarjunakonda,2018,135992,134466,1526,0.01122124830872404,0.00491402307004507
Andhra Pradesh,Nagarjunakonda,2019,132979,130711,2268,0.01705532452492499,-0.02215571504206126
Andhra Pradesh,Nagarjunakonda,2020,34274,33838,436,0.01272101301277937,-0.7422600560990833
Andhra Pradesh,Nagarjunakonda,2021,79369,78360,1009,0.01271277198906374,1.315720371126802
Andhra Pradesh,Nagarjunakonda,2022,122671,120412,2259,0.01841511033577618,0.5455782484345273
Andhra Pradesh,Nagarjunakonda,2023,143065,140566,2499,0.01746758466431342,0.1662495618361308
Andhra Pradesh,Nagarjunakonda,2024,155210,153538,1672,0.01077250177179306,0.08489148289239168
Andhra Pradesh,Nagarjunakonda,2025,171007,167654,3353,0.01960738449303245,0.1017782359384061
Andhra Pradesh,Puttaparthi,2015,303917,288938,14979,0.04928648282261276,0
Andhra Pradesh,Puttaparthi,2016,320937,305977,14960,0.04661350981656836,0.05600213216108352
Andhra Pradesh,Puttaparthi,2017,326500,310703,15797,0.04838284839203676,0.01733361999395511
Andhra Pradesh,Puttaparthi,2018,347908,330232,17676,0.05080653506099313,0.06556814701378255
Andhra Pradesh,Puttaparthi,2019,364333,344662,19671,0.05399181518006878,0.04721075686675791
Andhra Pradesh,Puttaparthi,2020,90087,85707,4380,0.04861966765460055,-0.7527344489793678
Andhra Pradesh,Puttaparthi,2021,183292,173875,9417,0.05137703773214325,1.03461098715686
Andhra Pradesh,Puttaparthi,2022,299411,285332,14079,0.04702232048922719,0.6335191934181525
Andhra Pradesh,Puttaparthi,2023,353186,335297,17889,0.05065036552977751,0.1796026198102274
Andhra Pradesh,Puttaparthi,2024,396010,377965,18045,0.04556703113557738,0.121250559195438
Andhra Pradesh,Puttaparthi,2025,428049,407172,20877,0.04877245362096395,0.08090452261306535
Andhra Pradesh,Srisailam Temple,2015,441976,392865,49111,0.1111168932249715,0
Andhra Pradesh,Srisailam Temple,2016,474870,421535,53335,0.1123149493545602,0.0744248556482705
Andhra Pradesh,Srisailam Temple,2017,484974,431540,53434,0.1101791023848701,0.02127740223640151
Andhra Pradesh,Srisailam Temple,2018,481139,429389,51750,0.1075572755482303,-0.007907640409589023
Andhra Pradesh,Srisailam Temple,2019,503177,449061,54116,0.1075486359670653,0.04580381137259715
Andhra Pradesh,Srisailam Temple,2020,129053,115068,13985,0.1083663301124344,-0.7435236507233041
Andhra Pradesh,Srisailam Temple,2021,280362,249904,30458,0.1086381178619071,1.172456277653367
Andhra Pradesh,Srisailam Temple,2022,447639,397573,50066,0.1118445890550198,0.5966464784813919
Andhra Pradesh,Srisailam Temple,2023,534024,475383,58641,0.1098096714754393,0.1929791640138594
Andhra Pradesh,Srisailam Temple,2024,612259,544391,67868,0.1108485134559067,0.1465009063263074
Andhra Pradesh,Srisailam Temple,2025,597177,529963,67214,0.1125528947029105,-0.02463336594480436
Andhra Pradesh,Tirupati Balaji Temple,2015,2199957,2008193,191764,0.08716715826718431,0
Andhra Pradesh,Tirupati Balaji Temple,2016,2113805,1932163,181642,0.08593129451392158,-0.03916076541496039
Andhra Pradesh,Tirupati Balaji Temple,2017,2295084,2099621,195463,0.0851659459958764,0.08575956627976566
Andhra Pradesh,Tirupati Balaji Temple,2018,2300702,2091645,209057,0.0908666137552799,0.002447840689055347
Andhra Pradesh,Tirupati Balaji Temple,2019,2355772,2160639,195133,0.0828318699772304,0.02393617252473379
Andhra Pradesh,Tirupati Balaji Temple,2020,578770,524078,54692,0.09449695042935881,-0.754318329617637
Andhra Pradesh,Tirupati Balaji Temple,2021,1351544,1235125,116419,0.08613778019805496,1.335200511429411
Andhra Pradesh,Tirupati Balaji Temple,2022,2100168,1910922,189246,0.09010993406241787,0.5539027956174567
Andhra Pradesh,Tirupati Balaji Temple,2023,2493321,2279625,213696,0.08570737582525476,0.1872007382266561
Andhra Pradesh,Tirupati Balaji Temple,2024,2592009,2371389,220620,0.08511544520100046,0.03958094445119587
Andhra Pradesh,Tirupati Balaji Temple,2025,2735933,2497179,238754,0.08726602588586782,0.055526041769145
Bihar,Bodh Gaya,2015,432764,345573,87191,0.2014747067685852,0
Bihar,Bodh Gaya,2016,462116,368816,93300,0.2018973591046404,0.06782449556802317
Bihar,Bodh Gaya,2017,488655,390173,98482,0.2015368716169895,0.05742930346493091
Bihar,Bodh Gaya,2018,504646,402897,101749,0.2016245050986236,0.03272451934391341
Bihar,Bodh Gaya,2019,511170,408213,102957,0.2014144022536534,0.01292787419299857
Bihar,Bodh Gaya,2020,129851,103369,26482,0.2039414405741966,-0.7459729639845845
Bihar,Bodh Gaya,2021,282134,224994,57140,0.2025278768244877,1.172751846346967
Bihar,Bodh Gaya,2022,450682,358780,91902,0.2039176181875469,0.5974040704062609
Bihar,Bodh Gaya,2023,543395,431670,111725,0.2056054987624104,0.2057171131751434
Bihar,Bodh Gaya,2024,612206,488185,124021,0.2025805039480175,0.1266316399672429
Bihar,Bodh Gaya,2025,630379,501964,128415,0.2037107835127756,0.02968445261888975
Bihar,Deo Sun Temple,2015,304595,289837,14758,0.0484512221146112,0
Bihar,Deo Sun Temple,2016,324985,311382,13603,0.04185731649153038,0.06694134834780607
Bihar,Deo Sun Temple,2017,321897,305516,16381,0.0508889489495087,-0.00950197701432376
Bihar,Deo Sun Temple,2018,332608,316313,16295,0.04899160573407736,0.03327461889983452
Bihar,Deo Sun Temple,2019,351724,334930,16794,0.04774766578339835,0.05747306138156638
Bihar,Deo Sun Temple,2020,90573,86318,4255,0.04697868018062778,-0.7424884284268347
Bihar,Deo Sun Temple,2021,182827,174135,8692,0.0475422120365154,1.018559614896271
Bihar,Deo Sun Temple,2022,309729,296634,13095,0.04227889542148136,0.6941097321511593
Bihar,Deo Sun Temple,2023,381732,364037,17695,0.04635451049427347,0.2324709665546332
Bihar,Deo Sun Temple,2024,392847,374847,18000,0.04581936479087279,0.02911728647323253
Bihar,Deo Sun Temple,2025,411828,391293,20535,0.049863049622658,0.0483165201719753
Bihar,Kesaria Stupa,2015,61664,60048,1616,0.02620653866113129,0
Bihar,Kesaria Stupa,2016,65330,63667,1663,0.02545538037654982,0.05945121951219523
Bihar,Kesaria Stupa,2017,66556,64853,1703,0.02558747520884668,0.01876626358487687
Bihar,Kesaria Stupa,2018,65619,63928,1691,0.02576997515963364,-0.01407837009435664
Bihar,Kesaria Stupa,2019,70714,69254,1460,0.02064654806686088,0.07764519422728178
Bihar,Kesaria Stupa,2020,17756,17339,417,0.02348501914845686,-0.7489040359759029
Bihar,Kesaria Stupa,2021,36634,35965,669,0.01826172408145438,1.063189907636855
Bihar,Kesaria Stupa,2022,60992,59402,1590,0.0260689926547744,0.6649014576622809
Bihar,Kesaria Stupa,2023,76544,74828,1716,0.02241847826086956,0.2549842602308499
Bihar,Kesaria Stupa,2024,79246,76573,2673,0.03373040910582237,0.03529995819397991
Bihar,Kesaria Stupa,2025,86010,83690,2320,0.02697360772003255,0.08535446584054718
Bihar,Maner Sharif,2015,123475,121199,2276,0.01843288115003037,0
Bihar,Maner Sharif,2016,126050,123178,2872,0.02278460928203094,0.02085442397246395
Bihar,Maner Sharif,2017,136037,133233,2804,0.02061203937164154,0.0792304641015471
Bihar,Maner Sharif,2018,137131,133705,3426,0.02498341002399166,0.008041929769107004
Bihar,Maner Sharif,2019,143813,141828,1985,0.01380264649231989,0.04872712953307423
Bihar,Maner Sharif,2020,33747,33010,737,0.02183897827955077,-0.765341102681955
Bihar,Maner Sharif,2021,79213,77920,1293,0.01632307828260513,1.347260497229383
Bihar,Maner Sharif,2022,119276,117806,1470,0.01232435695362018,0.5057629429512833
Bihar,Maner Sharif,2023,152984,151297,1687,0.01102729697223239,0.2826050504711761
Bihar,Maner Sharif,2024,163370,159363,4007,0.02452714696700741,0.06788945249176392
Bihar,Maner Sharif,2025,165143,161218,3925,0.02376728047813107,0.01085266572810184
Bihar,Nalanda University Ruins,2015,148145,143621,4524,0.03053764892503966,0
Bihar,Nalanda University Ruins,2016,150079,145487,4592,0.03059721879809967,0.01305477741401995
Bihar,Nalanda University Ruins,2017,156281,150609,5672,0.03629359934988898,0.0413249022181652
Bihar,Nalanda University Ruins,2018,172116,165871,6245,0.03628366915336169,0.101323897338768
Bihar,Nalanda University Ruins,2019,181480,175567,5913,0.03258210271104254,0.05440516860721845
Bihar,Nalanda University Ruins,2020,43839,42412,1427,0.03255092497547846,-0.7584361913158475
Bihar,Nalanda University Ruins,2021,100462,96795,3667,0.03650136369970735,1.291612491160838
Bihar,Nalanda University Ruins,2022,152998,147666,5332,0.03485012875985307,0.5229439987258864
Bihar,Nalanda University Ruins,2023,177262,170854,6408,0.03614987983888256,0.158590308370044
Bihar,Nalanda University Ruins,2024,197180,189546,7634,0.03871589410690739,0.1123647482257901
Bihar,Nalanda University Ruins,2025,203473,196426,7047,0.03463358774874307,0.03191500152145244
Bihar,Patna Museum,2015,94453,93240,1213,0.01284236604448773,0
Bihar,Patna Museum,2016,91358,90174,1184,0.01296000350270365,-0.03276761987443488
Bihar,Patna Museum,2017,96841,95138,1703,0.01758552679133838,0.06001663784233457
Bihar,Patna Museum,2018,99572,98243,1329,0.01334712569798739,0.02820086533596311
Bihar,Patna Museum,2019,100054,98710,1344,0.01343274631698883,0.004840718274213618
Bihar,Patna Museum,2020,27085,26612,473,0.01746354070518737,-0.7292961800627661
Bihar,Patna Museum,2021,59795,59201,594,0.009933940964963625,1.207679527413698
Bihar,Patna Museum,2022,85587,84279,1308,0.01528269480178064,0.4313404130780165
Bihar,Patna Museum,2023,112278,111051,1227,0.01092823171057554,0.311858109292299
Bihar,Patna Museum,2024,114911,113094,1817,0.01581223729669048,0.02345072053296282
Bihar,Patna Museum,2025,124109,122302,1807,0.01455978212700127,0.08004455622177153
Bihar,Rajgir,2015,246660,244175,2485,0.01007459661071921,0
Bihar,Rajgir,2016,250885,247669,3216,0.01281862207784443,0.01712884132003567
Bihar,Rajgir,2017,270126,266288,3838,0.01420818432879471,0.07669250851983977
Bihar,Rajgir,2018,265220,263131,2089,0.007876479903476358,-0.01816189481945463
Bihar,Rajgir,2019,269968,267974,1994,0.007386060570141646,0.01790211899555083
Bihar,Rajgir,2020,72921,72521,400,0.005485388296924069,-0.7298902092099804
Bihar,Rajgir,2021,149075,147158,1917,0.01285929901056515,1.044335650909889
Bihar,Rajgir,2022,235645,234025,1620,0.006874748031997284,0.5807144055005871
Bihar,Rajgir,2023,283195,280846,2349,0.008294637970303147,0.2017865857539944
Bihar,Rajgir,2024,304421,301638,2783,0.009141944872397108,0.07495188827486365
Bihar,Rajgir,2025,338253,334971,3282,0.009702796427526141,0.1111355655490258
Bihar,Sita Kund,2015,87371,86318,1053,0.0120520538851564,0
Bihar,Sita Kund,2016,90631,88966,1665,0.01837119749313149,0.03731215162925916
Bihar,Sita Kund,2017,92769,91763,1006,0.01084413974495791,0.02359016230649558
Bihar,Sita Kund,2018,99003,97875,1128,0.0113935941335111,0.06719917213724402
Bihar,Sita Kund,2019,108473,107219,1254,0.0115604804882321,0.09565366706059408
Bihar,Sita Kund,2020,25494,25076,418,0.01639601474856829,-0.7649737722751284
Bihar,Sita Kund,2021,57839,56860,979,0.0169262954062138,1.268729897230721
Bihar,Sita Kund,2022,86185,85614,571,0.006625282821836747,0.4900845450301698
Bihar,Sita Kund,2023,105098,103701,1397,0.01329235570610287,0.219446539421013
Bihar,Sita Kund,2024,117714,116082,1632,0.01386411132065854,0.1200403432986357
Bihar,Sita Kund,2025,122444,120950,1494,0.01220149619417856,0.04018213636440859
Bihar,Vaishali,2015,118007,112501,5506,0.04665824908691858,0
Bihar,Vaishali,2016,125577,120194,5383,0.04286612994417768,0.0641487369393341
Bihar,Vaishali,2017,132878,127205,5673,0.04269329761134274,0.05813962747955448
Bihar,Vaishali,2018,129975,124764,5211,0.04009232544720139,-0.02184710787338762
Bihar,Vaishali,2019,136258,129758,6500,0.04770362107179028,0.04834006539719171
Bihar,Vaishali,2020,34129,32720,1409,0.04128453807612294,-0.7495266332985953
Bihar,Vaishali,2021,75288,72129,3159,0.04195887790883009,1.205983181458584
Bihar,Vaishali,2022,122363,117484,4879,0.03987316427351405,0.6252656465837849
Bihar,Vaishali,2023,152586,145176,7410,0.04856277771224097,0.2469945980402573
Bihar,Vaishali,2024,148517,142138,6379,0.04295131197102015,-0.02666692881391475
Bihar,Vaishali,2025,163407,156631,6776,0.04146701181711922,0.1002578829359602
Bihar,Vikramshila Ruins,2015,57194,54123,3071,0.05369444347309158,0
Bihar,Vikramshila Ruins,2016,60220,56956,3264,0.05420126203918964,0.0529076476553485
Bihar,Vikramshila Ruins,2017,62849,59985,2864,0.04556953969036898,0.04365659249418807
Bihar,Vikramshila Ruins,2018,69981,66247,3734,0.05335733984938769,0.1134783369663797
Bihar,Vikramshila Ruins,2019,72643,69020,3623,0.04987404154564101,0.0380388962718452
Bihar,Vikramshila Ruins,2020,16908,16017,891,0.05269694819020582,-0.7672452954861446
Bihar,Vikramshila Ruins,2021,39158,37153,2005,0.05120281934725982,1.315945114738585
Bihar,Vikramshila Ruins,2022,59899,56996,2903,0.04846491594183543,0.5296746514122275
Bihar,Vikramshila Ruins,2023,71824,68063,3761,0.05236411227444866,0.1990851266298268
Bihar,Vikramshila Ruins,2024,80878,76764,4114,0.05086673755533025,0.1260581421251949
Bihar,Vikramshila Ruins,2025,84208,80054,4154,0.04933022990689721,0.04117312495363379
Goa,Anjuna Beach,2015,438984,394437,44547,0.1014775025969056,0
Goa,Anjuna Beach,2016,481913,433142,48771,0.1012029142189565,0.09779171906037587
Goa,Anjuna Beach,2017,494550,446000,48550,0.09817005358406632,0.02622257544411544
Goa,Anjuna Beach,2018,519575,468088,51487,0.09909445219650675,0.05060155697098367
Goa,Anjuna Beach,2019,508359,457414,50945,0.100214612114667,-0.02158687388731173
Goa,Anjuna Beach,2020,135209,121480,13729,0.1015390987286349,-0.734028511347296
Goa,Anjuna Beach,2021,297650,266766,30884,0.1037594490173022,1.201406711091717
Goa,Anjuna Beach,2022,431800,388321,43479,0.1006924502084298,0.4506971274987401
Goa,Anjuna Beach,2023,538013,483152,54861,0.1019696550083362,0.2459773043075497
Goa,Anjuna Beach,2024,611410,553041,58369,0.09546621743183788,0.1364223541066851
Goa,Anjuna Beach,2025,608636,550277,58359,0.09588489671987854,-0.004537053695556126
Goa,Baga Beach,2015,593897,543158,50739,0.08543400623340411,0
Goa,Baga Beach,2016,593230,542265,50965,0.08591102944894898,-0.001123090367521673
Goa,Baga Beach,2017,618401,567415,50986,0.08244812023266457,0.0424304232759638
Goa,Baga Beach,2018,646314,595356,50958,0.07884402937271977,0.04513737849712407
Goa,Baga Beach,2019,697764,640777,56987,0.08167088012565853,0.07960526926540346
Goa,Baga Beach,2020,179344,164704,14640,0.08163083236684807,-0.7429732688989401
Goa,Baga Beach,2021,385287,354212,31075,0.08065416170283451,1.148312739762691
Goa,Baga Beach,2022,605062,554786,50276,0.08309231120116616,0.5704189344566517
Goa,Baga Beach,2023,746070,686412,59658,0.07996300615223773,0.2330471918580244
Goa,Baga Beach,2024,803147,739890,63257,0.07876142225520359,0.07650354524374392
Goa,Baga Beach,2025,849227,781283,67944,0.08000687684211642,0.0573743038322998
Goa,Calangute Beach,2015,751188,694270,56918,0.07577064596346055,0
Goa,Calangute Beach,2016,781875,719030,62845,0.08037729816147082,0.0408512915541781
Goa,Calangute Beach,2017,789378,732868,56510,0.0715880098001211,0.009596163069544472
Goa,Calangute Beach,2018,808625,748992,59633,0.07374617406090586,0.02438248849093849
Goa,Calangute Beach,2019,888915,821612,67303,0.07571365091150448,0.0992920080383366
Goa,Calangute Beach,2020,206903,190913,15990,0.07728259135923597,-0.7672409622967326
Goa,Calangute Beach,2021,465283,431233,34050,0.07318126817442287,1.248797745803589
Goa,Calangute Beach,2022,720799,663577,57222,0.07938690259004244,0.5491625526829909
Goa,Calangute Beach,2023,939769,866575,73194,0.07788509729518638,0.3037878798389011
Goa,Calangute Beach,2024,1006139,924126,82013,0.08151259418430257,0.07062373838677383
Goa,Calangute Beach,2025,1015741,940839,74902,0.07374123915446949,0.009543412987668809
Goa,Chapora Fort,2015,178840,174484,4356,0.02435696712144934,0
Goa,Chapora Fort,2016,178001,174087,3914,0.02198864051325554,-0.004691344218295646
Goa,Chapora Fort,2017,196753,192327,4426,0.022495209729966,0.1053477227656023
Goa,Chapora Fort,2018,205231,200549,4682,0.02281331767617953,0.04308955899020606
Goa,Chapora Fort,2019,215038,210872,4166,0.01937332006436072,0.04778517865234777
Goa,Chapora Fort,2020,51004,49955,1049,0.02056701435181554,-0.7628140142672458
Goa,Chapora Fort,2021,110273,107484,2789,0.02529177586535235,1.162046114030272
Goa,Chapora Fort,2022,171888,167401,4487,0.02610420739085917,0.5587496485993853
Goa,Chapora Fort,2023,220975,214946,6029,0.02728362936983822,0.2855754910174066
Goa,Chapora Fort,2024,228468,223137,5331,0.02333368349178003,0.0339088132141645
Goa,Chapora Fort,2025,247415,241242,6173,0.02494998282238345,0.08293065111963172
Goa,Colva Beach,2015,356662,335854,20808,0.0583409502554239,0
Goa,Colva Beach,2016,368052,346807,21245,0.05772282177518394,0.03193499728033822
Goa,Colva Beach,2017,390834,365221,25613,0.06553421657276491,0.06189886211730955
Goa,Colva Beach,2018,391912,367896,24016,0.06127906264671661,0.002758204250397966
Goa,Colva Beach,2019,416907,393255,23652,0.05673207693802215,0.06377707240400898
Goa,Colva Beach,2020,100840,94504,6336,0.06283220944069813,-0.7581235143569189
Goa,Colva Beach,2021,239261,224622,14639,0.06118422977417966,1.372679492264974
Goa,Colva Beach,2022,353013,332905,20108,0.05696107508788628,0.4754305967123769
Goa,Colva Beach,2023,419090,396289,22801,0.05440597485027082,0.187180075521298
Goa,Colva Beach,2024,446349,419829,26520,0.0594153901991491,0.06504330811997416
Goa,Colva Beach,2025,471997,445878,26119,0.05533721612637368,0.05746176198445618
Goa,Dudhsagar Falls,2015,147996,144959,3037,0.02052082488715911,0
Goa,Dudhsagar Falls,2016,160744,157371,3373,0.0209836759070323,0.0861374631746803
Goa,Dudhsagar Falls,2017,155000,151801,3199,0.02063870967741935,-0.03573383765490468
Goa,Dudhsagar Falls,2018,160879,156853,4026,0.02502501880295128,0.03792903225806454
Goa,Dudhsagar Falls,2019,170280,166833,3447,0.0202431289640592,0.05843522150187397
Goa,Dudhsagar Falls,2020,45479,44603,876,0.01926163723916533,-0.7329163730326521
Goa,Dudhsagar Falls,2021,92519,90264,2255,0.02437337195603065,1.034323533938741
Goa,Dudhsagar Falls,2022,154043,151443,2600,0.01687840408197711,0.6649877322495921
Goa,Dudhsagar Falls,2023,185908,182501,3407,0.01832626890720141,0.206857825412385
Goa,Dudhsagar Falls,2024,202672,198225,4447,0.02194185679324228,0.09017363427071445
Goa,Dudhsagar Falls,2025,210451,206782,3669,0.01743398700885242,0.03838221362595728
Goa,Goa Carnival,2015,550115,489383,60732,0.1103987348099943,0
Goa,Goa Carnival,2016,569410,507724,61686,0.1083331869830175,0.0350744844259836
Goa,Goa Carnival,2017,598686,534761,63925,0.1067755050226663,0.0514146221527545
Goa,Goa Carnival,2018,629318,560228,69090,0.1097855138419686,0.05116538552763883
Goa,Goa Carnival,2019,622296,553760,68536,0.1101340841014565,-0.01115811084380236
Goa,Goa Carnival,2020,158637,141606,17031,0.1073583085913122,-0.7450779050484013
Goa,Goa Carnival,2021,347366,310692,36674,0.105577402509169,1.189690929606586
Goa,Goa Carnival,2022,533670,477157,56513,0.1058950287630933,0.5363334350512139
Goa,Goa Carnival,2023,645482,571320,74162,0.1148939861994602,0.2095152435025389
Goa,Goa Carnival,2024,725988,645848,80140,0.1103874995178984,0.1247223005443994
Goa,Goa Carnival,2025,721067,643122,77945,0.1080967510647416,-0.006778348953426216
Goa,Old Goa Churches,2015,373471,361975,11496,0.03078150646234915,0
Goa,Old Goa Churches,2016,374495,363880,10615,0.02834483771478925,0.002741846087112476
Goa,Old Goa Churches,2017,387239,374769,12470,0.03220233499208499,0.03402982683346911
Goa,Old Goa Churches,2018,403169,388697,14472,0.03589561697451937,0.04113738543896672
Goa,Old Goa Churches,2019,412073,400421,11652,0.02827654323384449,0.02208503133921513
Goa,Old Goa Churches,2020,100602,97676,2926,0.02908490884873064,-0.7558636455191192
Goa,Old Goa Churches,2021,229123,222535,6588,0.02875311513903013,1.277519333611658
Goa,Old Goa Churches,2022,357807,347516,10291,0.02876131545777472,0.5616371992335993
Goa,Old Goa Churches,2023,447129,432226,14903,0.0333304258949878,0.2496373743386797
Goa,Old Goa Churches,2024,470374,455950,14424,0.03066496022314159,0.05198723410917205
Goa,Old Goa Churches,2025,490315,471754,18561,0.03785525631481802,0.04239392483428084
Goa,Palolem Beach,2015,310117,300980,9137,0.02946307361415208,0
